LoadLibrary Error :126
Error :agora::rtc::NodeRtcEngine::registerPlugin, :3811, not unload plugin "bytedance"

duration : 1, tx :451408, rx :4367, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1
duration : 313, tx :155783942, rx :2392209, txbr :2820, rxbr :9, txAudioBr :83, rxAudioBr :0, users :1

duration : 315, tx :156724921, rx :2394276, txbr :3763, rxbr :8, txAudioBr :83, rxAudioBr :0, users :1

duration : 317, tx :157632536, rx :2396324, txbr :3630, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 319, tx :158636645, rx :2398426, txbr :4016, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 321, tx :159667159, rx :2401280, txbr :4119, rxbr :11, txAudioBr :79, rxAudioBr :0, users :1

duration : 323, tx :160508455, rx :2405468, txbr :3366, rxbr :16, txAudioBr :78, rxAudioBr :0, users :1

duration : 325, tx :161462976, rx :2408853, txbr :3819, rxbr :13, txAudioBr :70, rxAudioBr :0, users :1

duration : 327, tx :162349048, rx :2411291, txbr :3544, rxbr :9, txAudioBr :82, rxAudioBr :0, users :1

duration : 329, tx :163289761, rx :2413397, txbr :3760, rxbr :8, txAudioBr :75, rxAudioBr :0, users :1

duration : 331, tx :164144891, rx :2415715, txbr :3422, rxbr :9, txAudioBr :71, rxAudioBr :0, users :1

duration : 333, tx :165064257, rx :2418343, txbr :3677, rxbr :10, txAudioBr :70, rxAudioBr :0, users :1

duration : 335, tx :165856219, rx :2422804, txbr :3167, rxbr :17, txAudioBr :79, rxAudioBr :0, users :1

duration : 337, tx :166662621, rx :2425420, txbr :3225, rxbr :10, txAudioBr :62, rxAudioBr :0, users :1

duration : 339, tx :168025833, rx :2429009, txbr :5452, rxbr :14, txAudioBr :61, rxAudioBr :0, users :1

duration : 341, tx :169240401, rx :2490195, txbr :4855, rxbr :244, txAudioBr :65, rxAudioBr :42, users :2

duration : 343, tx :170436409, rx :2563277, txbr :4784, rxbr :292, txAudioBr :73, rxAudioBr :40, users :2

duration : 345, tx :171259174, rx :2679244, txbr :3291, rxbr :463, txAudioBr :71, rxAudioBr :43, users :2

duration : 347, tx :172261855, rx :2834521, txbr :4010, rxbr :621, txAudioBr :68, rxAudioBr :53, users :2

duration : 349, tx :173651003, rx :2958489, txbr :5559, rxbr :496, txAudioBr :64, rxAudioBr :47, users :2

duration : 351, tx :175001427, rx :3072211, txbr :5401, rxbr :454, txAudioBr :68, rxAudioBr :47, users :2

duration : 353, tx :175677835, rx :3208260, txbr :2704, rxbr :543, txAudioBr :70, rxAudioBr :42, users :2

duration : 355, tx :176621732, rx :3357207, txbr :3777, rxbr :596, txAudioBr :67, rxAudioBr :50, users :2

duration : 357, tx :177402096, rx :3522385, txbr :3118, rxbr :660, txAudioBr :82, rxAudioBr :56, users :2

duration : 359, tx :178190835, rx :3641753, txbr :3154, rxbr :477, txAudioBr :75, rxAudioBr :51, users :2

duration : 361, tx :179517689, rx :3761987, txbr :5310, rxbr :481, txAudioBr :66, rxAudioBr :48, users :2

